date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:09	58287/58287	---M--	200	added ('OK%20')	text/html	date:Fri,%2023%20Feb%202018%2019:19:12%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	D:/My%20Web%20Sites/theme1/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	(from )
00:48:09	4640/4640	---M--	200	added ('OK%20')	text/html	date:Fri,%2023%20Feb%202018%2019:19:12%20GMT	http://demos.creative-tim.com/robots.txt		(from )
00:48:10	2446/2446	---M--	200	added ('OK%20')	image/png	date:Fri,%2023%20Feb%202018%2018:54:00%20GMT	http://demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	D:/My%20Web%20Sites/theme1/demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
00:48:10	2761/2761	---M--	200	added ('OK%20')	image/png	date:Fri,%2023%20Feb%202018%2018:54:00%20GMT	http://demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	D:/My%20Web%20Sites/theme1/demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
00:48:12	122540/122540	---M--	200	added ('OK%20')	text/css	date:Fri,%2023%20Feb%202018%2018:54:00%20GMT	http://demos.creative-tim.com/material-dashboard-pro/assets/css/bootstrap.min.css	D:/My%20Web%20Sites/theme1/demos.creative-tim.com/material-dashboard-pro/assets/css/bootstrap.min.css	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
00:48:14	330952/330952	---M--	200	added ('OK%20')	text/css	date:Fri,%2023%20Feb%202018%2018:54:00%20GMT	http://demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.css?v=1.2.1	D:/My%20Web%20Sites/theme1/demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard23cd.css	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
00:48:15	8373/8373	---M--	200	added ('OK%20')	text/css	date:Fri,%2023%20Feb%202018%2018:54:00%20GMT	http://demos.creative-tim.com/material-dashboard-pro/assets/css/demo.css	D:/My%20Web%20Sites/theme1/demos.creative-tim.com/material-dashboard-pro/assets/css/demo.css	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
00:48:18	140194/140194	---M--	200	added ('OK')	image/jpeg	etag:%2219bf7b84f395560981564cc7e60e0699%22	http://s3.amazonaws.com/creativetim_bucket/products/51/opt_mdp_thumbnail.jpg	D:/My%20Web%20Sites/theme1/s3.amazonaws.com/creativetim_bucket/products/51/opt_mdp_thumbnail.jpg	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
00:48:19	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	D:/My%20Web%20Sites/theme1/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
00:48:21	18527/18527	---M--	200	added ('OK%20')	text/html	date:Fri,%2023%20Feb%202018%2019:19:24%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/pages/pricing.html	D:/My%20Web%20Sites/theme1/demos.creative-tim.com/material-dashboard-pro/examples/pages/pricing.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
00:48:21	64587/64587	---M--	200	added ('OK%20')	text/html	date:Fri,%2023%20Feb%202018%2019:19:24%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/pages/rtl.html	D:/My%20Web%20Sites/theme1/demos.creative-tim.com/material-dashboard-pro/examples/pages/rtl.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
